Season,Team,W,L,WPct,wRC+,FIP-,OPS+,ERA-,Payroll,log_Payroll
2023,BOS,78,84,0.48148148148148145,101,102,100,101,182926796,19.024596608917683
2023,CHW,61,101,0.3765432098765432,83,107,84,113,162863836,18.908425047698607
2023,CLE,76,86,0.4691358024691358,91,100,91,94,91861627,18.33579394844032
2023,DET,78,84,0.48148148148148145,89,96,89,99,121494514,18.615379667462108
2023,KCR,56,106,0.345679012345679,88,110,90,117,96083853,18.380731836930273
2023,MIN,87,75,0.5370370370370371,107,91,105,90,156104540,18.866036468983296
2023,NYY,82,80,0.5061728395061729,93,97,91,94,278651150,19.445471199012395
2023,OAK,50,112,0.30864197530864196,88,122,88,133,62243227,17.94656028417674
2023,SEA,88,74,0.5432098765432098,109,95,108,93,127990117,18.667463607965473
2023,TBR,99,63,0.6111111111111112,117,91,114,94,79354272,18.18943284091662
2023,TEX,90,72,0.5555555555555556,118,100,116,101,251332754,19.342288332261678
2023,TOR,89,73,0.5493827160493827,106,93,105,89,214916600,19.18576060385982
2023,ARI,84,78,0.5185185185185185,97,103,98,102,119257651,18.596796845003745
2023,ATL,104,58,0.6419753086419753,126,95,126,94,206239131,19.144546883608648
2023,CHC,83,79,0.5123456790123457,105,97,106,95,189409358,19.05942114615461
2023,CIN,82,80,0.5061728395061729,98,104,98,106,95573417,18.375405274500874
2023,COL,59,103,0.36419753086419754,80,114,85,114,171030478,18.957352332503284
2023,MIA,84,78,0.5185185185185185,93,94,90,95,105435809,18.473612880204687
2023,HOU,90,72,0.5555555555555556,112,101,111,93,237107748,19.284025228696567
2023,LAD,100,62,0.6172839506172839,115,94,114,93,235743243,19.278253817349164
2023,MIL,92,70,0.5679012345679012,93,96,92,86,129339624,18.67795224691185
2023,WSN,71,91,0.4382716049382716,93,117,96,115,93378663,18.352173429563486
2023,NYM,75,87,0.46296296296296297,100,103,99,102,346277812,19.66275193570577
2023,PHI,90,72,0.5555555555555556,104,90,107,91,245410961,19.318444755095268
2023,PIT,76,86,0.4691358024691358,90,101,91,104,75695975,18.14223554658457
2023,STL,71,91,0.4382716049382716,103,103,101,113,153793028,18.85111828240883
2023,SDP,82,80,0.5061728395061729,106,95,104,89,256045688,19.360866455270184
2023,SFG,79,83,0.4876543209876543,92,93,93,94,189398165,19.05936205017935
2022,LAA,73,89,0.4506172839506173,93,98,93,96,179877811,19.00778835056881
2022,BAL,83,79,0.5123456790123457,100,103,99,104,44888388,17.619689700111106
2022,BOS,78,84,0.48148148148148145,102,105,102,110,211812131,19.17121026522321
2022,CHW,81,81,0.5,98,93,97,101,203205326,19.12972748395503
2022,CLE,92,70,0.5679012345679012,100,96,102,90,66477492,18.012373982168068
2022,DET,66,96,0.4074074074074074,81,107,82,105,136287588,18.73027782869041
2022,KCR,65,97,0.4012345679012346,91,112,93,116,92613711,18.343947755610223
2022,MIN,78,84,0.48148148148148145,106,102,105,103,150363491,18.828566194001795
2022,NYY,99,63,0.6111111111111112,114,88,112,85,252957200,19.348730862420467
2022,OAK,60,102,0.37037037037037035,82,116,84,121,48443900,17.695916985381825
2022,SEA,90,72,0.5555555555555556,108,103,106,98,113926407,18.55106324526837
2022,TBR,86,76,0.5308641975308642,100,96,99,91,98342073,18.403962499652675
2022,TEX,68,94,0.41975308641975306,98,104,96,108,150037446,18.82639546090565
2022,TOR,92,70,0.5679012345679012,118,98,117,101,177287681,18.993284287525043
2022,ARI,74,88,0.4567901234567901,93,112,95,104,85964090,18.26944020887657
2022,ATL,101,61,0.6234567901234568,112,89,109,85,179938888,19.008127840096428
2022,CHC,74,88,0.4567901234567901,100,111,94,103,151054737,18.833152825781887
2022,CIN,62,100,0.38271604938271603,85,108,85,113,115417321,18.564064996095723
2022,COL,68,94,0.41975308641975306,88,105,91,111,140012218,18.757240248194222
2022,MIA,69,93,0.42592592592592593,83,98,85,94,88454422,18.29799797166748
2022,HOU,106,56,0.654320987654321,113,84,111,76,183791796,19.029314131416328
2022,LAD,111,51,0.6851851851851852,119,85,115,71,264996019,19.395225361196147
2022,MIL,86,76,0.5308641975308642,104,98,103,95,133086663,18.7065110754897
2022,WSN,55,107,0.3395061728395062,95,124,98,125,126809535,18.65819679430112
2022,NYM,101,61,0.6234567901234568,113,89,113,92,266670327,19.401523723119887
2022,PHI,87,75,0.5370370370370371,107,88,108,98,244484097,19.314660821819032
2022,PIT,62,100,0.38271604938271603,82,107,85,113,56184032,17.844143146378002
2022,STL,93,69,0.5740740740740741,112,100,112,96,156428325,18.868108475815855
2022,SDP,89,73,0.5493827160493827,102,96,102,98,224511694,19.229438352876855
2022,SFG,81,81,0.5,102,90,100,98,162453046,18.90589957028833
2021,LAA,77,85,0.47530864197530864,93,97,93,106,183849560,19.02962837245332
2021,BAL,52,110,0.32098765432098764,91,113,92,133,42421870,17.56317458910891
2021,BOS,92,70,0.5679012345679012,105,92,106,93,187100784,19.04715798150812
2021,CHW,93,69,0.5740740740740741,108,84,106,85,140926169,18.763746687089988
2021,CLE,80,82,0.49382716049382713,95,105,94,102,50670534,17.740855116176903
2021,DET,77,85,0.47530864197530864,93,108,96,100,86348945,18.273907144763736
2021,KCR,74,88,0.4567901234567901,88,103,90,103,91595545,18.33289319309044
2021,MIN,73,89,0.4506172839506173,102,110,103,113,121417939,18.614749193383147
2021,NYY,92,70,0.5679012345679012,103,90,100,89,205669863,19.1417828344098
2021,OAK,86,76,0.5308641975308642,102,98,102,97,90400598,18.319761440384774
2021,SEA,90,72,0.5555555555555556,93,102,92,104,83822113,18.244207408924183
2021,TBR,100,62,0.6172839506172839,109,92,110,89,70836327,18.075882520296968
2021,TEX,60,102,0.37037037037037035,83,109,83,111,95788819,18.377656524229934
2021,TOR,91,71,0.5617283950617284,112,98,113,87,150140253,18.827080435201623
2021,ARI,52,110,0.32098765432098764,86,119,87,122,91632929,18.333301251943986
2021,ATL,88,73,0.546583850931677,99,98,98,91,152753755,18.844337738365223
2021,CHC,71,91,0.4382716049382716,94,116,93,117,144040237,18.78560324211988
2021,CIN,83,79,0.5123456790123457,98,97,95,100,126608690,18.656611706708844
2021,COL,74,87,0.45962732919254656,80,100,86,100,116208966,18.570900559474246
2021,MIA,67,95,0.41358024691358025,80,96,81,94,58157900,17.878672283247422
2021,HOU,95,67,0.5864197530864198,115,98,113,89,194222042,19.084512608925486
2021,LAD,106,56,0.654320987654321,105,82,101,74,261516971,19.382009738024994
2021,MIL,95,67,0.5864197530864198,92,87,92,83,99377415,18.414435432530276
2021,WSN,65,97,0.4012345679012346,102,114,107,114,144415187,18.78820295202289
2021,NYM,77,85,0.47530864197530864,94,96,93,97,201189189,19.119756262141838
2021,PHI,82,80,0.5061728395061729,94,95,95,104,190513223,19.065232162195613
2021,PIT,61,101,0.3765432098765432,80,112,82,119,54356609,17.81107676487469
2021,STL,90,72,0.5555555555555556,95,103,99,97,151469994,18.835898103891402
2021,SDP,79,83,0.4876543209876543,99,100,101,103,179767346,19.00717405060495
2021,SFG,107,55,0.6604938271604939,108,87,107,80,171890308,18.962367087146355
2019,LAA,72,90,0.4444444444444444,96,108,96,110,160270385,18.892372853163167
2019,BAL,54,108,0.3333333333333333,88,114,90,120,73328658,18.110462059070663
2019,BOS,84,78,0.5185185185185185,106,95,106,97,229166880,19.24996102974555
2019,CHW,72,89,0.4472049689440994,92,104,93,107,91371201,18.330440899246522
2019,CLE,93,69,0.5740740740740741,97,90,95,82,106838693,18.486830712885233
2019,DET,47,114,0.2919254658385093,77,106,78,113,114631137,18.557230026911405
2019,KCR,59,103,0.36419753086419754,84,109,85,110,104773003,18.467306691703527
2019,MIN,101,61,0.6234567901234568,116,88,118,90,125256003,18.645870224924444
2019,NYY,103,59,0.6358024691358025,117,96,118,94,223019037,19.222767693493783
